TAXON_GROUP_NAME	TAXON_LIST_KEY	TAXON_LIST_VERSION_KEY	TAXON_LIST_ITEM_KEY	PARENT	TAXON_VERSION_KEY	PREFERRED_NAME	SORT_CODE	LST_ITM_CODE	TAXON_RANK_KEY	LONG_NAME	ITEM_NAME	AUTHORITY	ATTRIBUTE	LANGUAGE	NOTE	CHANGED_BY	CHANGED_DATE	DELETED_DATE
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171851		NBNSYS0000139225	NHMSYS0021171851			NBNSYS0000000022	Genus	Ablabesmyia	Johannsen, 1905		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170837		NBNSYS0000027317	NHMSYS0021170837			NBNSYS0000000028	Species	Ablabesmyia longistyla	Fittkau, 1962		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170838		NBNSYS0000027318	NHMSYS0021170838			NBNSYS0000000028	Species	Ablabesmyia monilis	(Linnaeus, 1758)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170839		NBNSYS0000027319	NHMSYS0021170839			NBNSYS0000000028	Species	Ablabesmyia phatta	(Egger, 1863)		la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174633		NHMSYS0000544594	NHMSYS0021174633			NBNSYS0000000028	Species	Abramis brama	(Linnaeus, 1758)		la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176953		NHMSYS0021122377	NHMSYS0021176953			NBNSYS0000000029	Species hybrid	Abramis brama x Blicca bjoerkna			la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174634		NHMSYS0000544596	NHMSYS0021174634			NBNSYS0000000029	Species hybrid	Abramis brama x Leuciscus idus			la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174635		NHMSYS0000544597	NHMSYS0021174635			NBNSYS0000000029	Species hybrid	Abramis brama x Rutilus rutilus			la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174636		NHMSYS0000544598	NHMSYS0021174636			NBNSYS0000000029	Species hybrid	Abramis brama x Scardinius erythrophthalmus			la		NHMSYS0020970929	15/06/2017	
lichen	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179038		NHMSYS0001472734	NHMSYS0021179038			NBNSYS0000000022	Genus	Absconditella	V?zda		la				
lichen	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179039		NHMSYS0001472742	NHMSYS0021179039			NBNSYS0000000028	Species	Absconditella trivialis	(Willey ex Tuck.) V?zda		la				
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174213		NHMSYS0000455527	NHMSYS0021174213			NBNSYS0000000028	Species	Abutilon theophrasti	Medik.		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171852		NBNSYS0000139242	NHMSYS0021171852			NBNSYS0000000022	Genus	Acamptocladius	Brundin, 1956		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172156		NBNSYS0100001393	NHMSYS0021172156			NBNSYS0000000028	Species	Acamptocladius reissi	Cranston & Saether, 1981		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170953		NBNSYS0000027463	NHMSYS0021170953			NBNSYS0000000028	Species	Acamptocladius submontanus	(Edwards, 1932)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171853		NHMSYS0000841298	NHMSYS0021171853			NBNSYS0000000023	Subgenus	Acanthocnema	Becker, 1894		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171854		NBNSYS0000139250	NHMSYS0021171854			NBNSYS0000000022	Genus	Acanthocnema	Becker, 1894		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171197		NBNSYS0000030395	NHMSYS0021171197			NBNSYS0000000028	Species	Acanthocnema glaucescens	(Loew, 1864)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171196		NBNSYS0000030394	NHMSYS0021171196			NBNSYS0000000028	Species	Acanthocnema nigrimana	(Zetterstedt, 1846)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174842		NHMSYS0001593148	NHMSYS0021174842			NBNSYS0000000022	Genus	Acanthocyclops	Kiefer, 1927		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174843		NHMSYS0001593149	NHMSYS0021174843			NBNSYS0000000028	Species	Acanthocyclops robustus	Sars, 1863		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174844		NHMSYS0001593151	NHMSYS0021174844			NBNSYS0000000028	Species	Acanthocyclops sensitivus	(Graeter & Chappuis, 1914)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174845		NHMSYS0001593152	NHMSYS0021174845			NBNSYS0000000028	Species	Acanthocyclops venustus	(Norman & Scott, 1906)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174846		NHMSYS0001593154	NHMSYS0021174846			NBNSYS0000000028	Species	Acanthocyclops vernalis	(Fischer, 1853)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174847		NHMSYS0001593155	NHMSYS0021174847			NBNSYS0000000022	Genus	Acantholeberis	Lilljeborg, 1853		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174848		NHMSYS0001593156	NHMSYS0021174848			NBNSYS0000000028	Species	Acantholeberis curvirostris	(O. F. Müller, 1776)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171967		NBNSYS0000178762	NHMSYS0021171967			NBNSYS0000000022	Genus	Acartia	Dana, 1846		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174849		NHMSYS0001593158	NHMSYS0021174849			NBNSYS0000000023	Subgenus	Acartia (Acanthacartia)	Steuer, 1915		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174850		NHMSYS0001593159	NHMSYS0021174850			NBNSYS0000000028	Species	Acartia (Acanthacartia) bifilosa	(Giesbrecht, 1881)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174851		NHMSYS0001593160	NHMSYS0021174851			NBNSYS0000000031	Subspecies	Acartia (Acanthacartia) bifilosa subsp. bifilosa	(Giesbrecht, 1881)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174852		NHMSYS0001593161	NHMSYS0021174852			NBNSYS0000000023	Subgenus	Acartia (Acartiura)	Steuer, 1915		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176769		NHMSYS0021050853	NHMSYS0021176769			NBNSYS0000000028	Species	Acartia (Acartiura) clausi	Giesbrecht, 1889		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174853		NHMSYS0001593162	NHMSYS0021174853			NBNSYS0000000028	Species	Acartia (Acartiura) discaudata	(Giesbrecht, 1881)		la		NHMSYS0020970929	15/06/2017	
insect - moth	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174544		NHMSYS0000516749	NHMSYS0021174544			NBNSYS0000000022	Genus	Acentria	Stephens, 1829		la		NHMSYS0020970929	15/06/2017	
insect - moth	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174539		NHMSYS0000500911	NHMSYS0021174539			NBNSYS0000000028	Species	Acentria ephemerella	(Denis & Schiffermüller, 1775)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171855		NBNSYS0000139280	NHMSYS0021171855			NBNSYS0000000022	Genus	Achalcus	Haliday in Loew, 1857		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170470		NBNSYS0000012748	NHMSYS0021170470			NBNSYS0000000028	Species	Achalcus flavicollis	(Meigen, 1824)		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179040		NHMSYS0000455561	NHMSYS0021179040			NBNSYS0000000022	Genus	Achillea	L.		la				
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179041		NBNSYS0000004451	NHMSYS0021179041			NBNSYS0000000028	Species	Achillea millefolium	L.		la				
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169622		NBNSYS0000004453	NHMSYS0021169622			NBNSYS0000000028	Species	Achillea ptarmica	L.		la		NHMSYS0020970929	15/06/2017	
roundworm (Nematoda)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176218		NHMSYS0020706178	NHMSYS0021176218			NBNSYS0000000022	Genus	Achromadora	Cobb, 1913		la		NHMSYS0020970929	15/06/2017	
roundworm (Nematoda)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172656		NBNSYS0100009212	NHMSYS0021172656			NBNSYS0000000028	Species	Achromadora ruricola	(De Man)		la		NHMSYS0020970929	15/06/2017	
roundworm (Nematoda)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172657		NBNSYS0100009213	NHMSYS0021172657			NBNSYS0000000028	Species	Achromadora terricola	(De Man)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176770		NHMSYS0021052520	NHMSYS0021176770			NBNSYS0000000022	Genus	Achtheres	Nordmann, 1832		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176771		NHMSYS0021052521	NHMSYS0021176771			NBNSYS0000000028	Species	Achtheres percarum	Nordmann, 1832		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173628		NHMSYS0000078657	NHMSYS0021173628			NBNSYS0000000022	Genus	Achyrolimonia	Alexander, 1965		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172157		NBNSYS0100001404	NHMSYS0021172157			NBNSYS0000000028	Species	Achyrolimonia decemmaculata	(Loew, 1873)		la		NHMSYS0020970929	15/06/2017	
insect - beetle (Coleoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175251		NHMSYS0001716362	NHMSYS0021175251			NBNSYS0000000022	Genus	Acilius	Leach, 1817		la		NHMSYS0020970929	15/06/2017	
insect - beetle (Coleoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169790		NBNSYS0000007625	NHMSYS0021169790			NBNSYS0000000028	Species	Acilius canaliculatus	(Nicolai, 1822)		la		NHMSYS0020970929	15/06/2017	
insect - beetle (Coleoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169791		NBNSYS0000007626	NHMSYS0021169791			NBNSYS0000000028	Species	Acilius sulcatus	(Linnaeus, 1758)		la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176717		NHMSYS0020954834	NHMSYS0021176717			NBNSYS0000000028	Species	Acipenser baerii	Brandt, 1869		la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175137		NHMSYS0001691445	NHMSYS0021175137			NBNSYS0000000028	Species	Acipenser ruthenus	Linnaeus, 1758		la		NHMSYS0020970929	15/06/2017	
bony fish (Actinopterygii)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172117		NBNSYS0000188597	NHMSYS0021172117			NBNSYS0000000028	Species	Acipenser sturio	Linnaeus, 1758		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174214		NHMSYS0000455592	NHMSYS0021174214			NBNSYS0000000022	Genus	Acorus	L.		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169335		NBNSYS0000002348	NHMSYS0021169335			NBNSYS0000000028	Species	Acorus calamus	L.		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170562		NBNSYS0000014861	NHMSYS0021170562			NBNSYS0000000028	Species	Acorus gramineus	Aiton		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171856		NBNSYS0000139312	NHMSYS0021171856			NBNSYS0000000022	Genus	Acricotopus	Kieffer, 1921		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170882		NBNSYS0000027374	NHMSYS0021170882			NBNSYS0000000028	Species	Acricotopus lucens	(Zetterstedt, 1850)		la		NHMSYS0020970929	15/06/2017	
liverwort	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173738		NHMSYS0000309290	NHMSYS0021173738			NBNSYS0000000028	Species	Acrobolbus wilsonii	Nees		la		NHMSYS0020970929	15/06/2017	
bird	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174579		NHMSYS0000530127	NHMSYS0021174579			NBNSYS0000000028	Species	Acrocephalus paludicola	(Vieillot, 1817)		la		NHMSYS0020970929	15/06/2017	
bird	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174580		NHMSYS0000530128	NHMSYS0021174580			NBNSYS0000000028	Species	Acrocephalus palustris	(Bechstein, 1798)		la		NHMSYS0020970929	15/06/2017	
bird	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174581		NHMSYS0000530129	NHMSYS0021174581			NBNSYS0000000028	Species	Acrocephalus schoenobaenus	(Linnaeus, 1758)		la		NHMSYS0020970929	15/06/2017	
bird	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174582		NHMSYS0000530130	NHMSYS0021174582			NBNSYS0000000028	Species	Acrocephalus scirpaceus	(Hermann, 1804)		la		NHMSYS0020970929	15/06/2017	
bird	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175950		NHMSYS0020302919	NHMSYS0021175950			NBNSYS0000000031	Subspecies	Acrocephalus scirpaceus subsp. scirpaceus	(Hermann, 1804)		la		NHMSYS0020970929	15/06/2017	
mollusc	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176772		NHMSYS0021056356	NHMSYS0021176772			NBNSYS0000000022	Genus	Acroloxus	Beck, 1838		la		NHMSYS0020970929	15/06/2017	
mollusc	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175160		NHMSYS0001701871	NHMSYS0021175160			NBNSYS0000000028	Species	Acroloxus lacustris	(Linnaeus, 1758)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174854		NHMSYS0001593164	NHMSYS0021174854			NBNSYS0000000022	Genus	Acroperus	Baird, 1843		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174855		NHMSYS0001593165	NHMSYS0021174855			NBNSYS0000000028	Species	Acroperus angustatus	Sars, 1863		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174856		NHMSYS0001593167	NHMSYS0021174856			NBNSYS0000000028	Species	Acroperus harpae	(Baird, 1835)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171857		NBNSYS0000139333	NHMSYS0021171857			NBNSYS0000000022	Genus	Acropsilus	Mik, 1878		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170490		NBNSYS0000012806	NHMSYS0021170490			NBNSYS0000000028	Species	Acropsilus niger	(Loew, 1869)		la		NHMSYS0020970929	15/06/2017	
roundworm (Nematoda)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172658		NBNSYS0100009224	NHMSYS0021172658			NBNSYS0000000022	Genus	Actinolaimus			la		NHMSYS0020970929	15/06/2017	
bird	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176773		NHMSYS0021053542	NHMSYS0021176773			NBNSYS0000000028	Species	Actitis hypoleucos	Linnaeus, 1758		la		NHMSYS0020970929	15/06/2017	
insect - hymenopteran	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176552		NHMSYS0020930596	NHMSYS0021176552			NBNSYS0000000022	Genus	Ademon	Haliday, 1833		la		NHMSYS0020970929	15/06/2017	
insect - hymenopteran	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172659		NBNSYS0100009268	NHMSYS0021172659			NBNSYS0000000028	Species	Ademon decrescens	(Nees)		la		NHMSYS0020970929	15/06/2017	
fern	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169271		NBNSYS0000002034	NHMSYS0021169271			NBNSYS0000000028	Species	Adiantum capillus-veneris	L.		la		NHMSYS0020970929	15/06/2017	
insect - caddis fly (Trichoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176219		NHMSYS0020704761	NHMSYS0021176219			NBNSYS0000000022	Genus	Adicella	McLachlan, 1877		la		NHMSYS0020970929	15/06/2017	
insect - caddis fly (Trichoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170243		NBNSYS0000008528	NHMSYS0021170243			NBNSYS0000000028	Species	Adicella filicornis	(Pictet, 1834)		la		NHMSYS0020970929	15/06/2017	
insect - caddis fly (Trichoptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170244		NBNSYS0000008529	NHMSYS0021170244			NBNSYS0000000028	Species	Adicella reducta	(McLachlan, 1865)		la		NHMSYS0020970929	15/06/2017	
rotifer	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176553		NHMSYS0020930597	NHMSYS0021176553			NBNSYS0000000022	Genus	Adineta	Hudson, 1886		la		NHMSYS0020970929	15/06/2017	
rotifer	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172660		NBNSYS0100009270	NHMSYS0021172660			NBNSYS0000000028	Species	Adineta barbata	Janson, 1893		la		NHMSYS0020970929	15/06/2017	
rotifer	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172661		NBNSYS0100009271	NHMSYS0021172661			NBNSYS0000000028	Species	Adineta gracilis	Janson, 1893		la		NHMSYS0020970929	15/06/2017	
rotifer	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172662		NBNSYS0100009272	NHMSYS0021172662			NBNSYS0000000028	Species	Adineta oculata	(Milne, 1886)		la		NHMSYS0020970929	15/06/2017	
rotifer	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172663		NBNSYS0100009273	NHMSYS0021172663			NBNSYS0000000028	Species	Adineta tuberculosa	Janson, 1893		la		NHMSYS0020970929	15/06/2017	
rotifer	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172664		NBNSYS0100009274	NHMSYS0021172664			NBNSYS0000000028	Species	Adineta vaga	(Davis, 1873)		la		NHMSYS0020970929	15/06/2017	
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179640		NHMSYS0000455610	NHMSYS0021179640			NBNSYS0000000022	Genus	Adoxa	L.		la				
flowering plant	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021179641		NBNSYS0000004336	NHMSYS0021179641			NBNSYS0000000028	Species	Adoxa moschatellina	L.		la				
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171858		NHMSYS0000841299	NHMSYS0021171858			NBNSYS0000000023	Subgenus	Aedes	Meigen, 1818		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171859		NBNSYS0000139374	NHMSYS0021171859			NBNSYS0000000022	Genus	Aedes	Meigen, 1818		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170345		NBNSYS0000011587	NHMSYS0021170345			NBNSYS0000000028	Species	Aedes aegypti	(Linnaeus in Hasselquist, 1762)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176973		NHMSYS0021164648	NHMSYS0021176973			NBNSYS0000000028	Species	Aedes albopictus	(Skuse, 1894)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170333		NBNSYS0000011575	NHMSYS0021170333			NBNSYS0000000028	Species	Aedes annulipes	(Meigen, 1830)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170334		NBNSYS0000011576	NHMSYS0021170334			NBNSYS0000000028	Species	Aedes cantans	(Meigen, 1818)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170335		NBNSYS0000011577	NHMSYS0021170335			NBNSYS0000000028	Species	Aedes caspius	(Pallas, 1771)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170347		NBNSYS0000011589	NHMSYS0021170347			NBNSYS0000000028	Species	Aedes cinereus	Meigen, 1818		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170336		NBNSYS0000011578	NHMSYS0021170336			NBNSYS0000000028	Species	Aedes communis	(De Geer, 1776)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170337		NBNSYS0000011579	NHMSYS0021170337			NBNSYS0000000028	Species	Aedes detritus	(Haliday, 1833)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170338		NBNSYS0000011580	NHMSYS0021170338			NBNSYS0000000028	Species	Aedes dorsalis	(Meigen, 1830)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170339		NBNSYS0000011581	NHMSYS0021170339			NBNSYS0000000028	Species	Aedes flavescens	(Müller, 1764)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170344		NBNSYS0000011586	NHMSYS0021170344			NBNSYS0000000028	Species	Aedes geniculatus	(Olivier, 1791)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170340		NBNSYS0000011582	NHMSYS0021170340			NBNSYS0000000028	Species	Aedes leucomelas	(Meigen, 1804)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170341		NBNSYS0000011583	NHMSYS0021170341			NBNSYS0000000028	Species	Aedes punctor	(Kirby in Richardson, 1837)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170342		NBNSYS0000011584	NHMSYS0021170342			NBNSYS0000000028	Species	Aedes rusticus	(Rossi, 1790)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170343		NBNSYS0000011585	NHMSYS0021170343			NBNSYS0000000028	Species	Aedes sticticus	(Meigen, 1838)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170346		NBNSYS0000011588	NHMSYS0021170346			NBNSYS0000000028	Species	Aedes vexans	(Meigen, 1830)		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176554		NHMSYS0020930599	NHMSYS0021176554			NBNSYS0000000022	Genus	Aeolosoma	Ehrenberg, 1831		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172665		NBNSYS0100009282	NHMSYS0021172665			NBNSYS0000000028	Species	Aeolosoma beddardi	Michaelsen		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172666		NBNSYS0100009283	NHMSYS0021172666			NBNSYS0000000028	Species	Aeolosoma headleyi	Beddard		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172667		NBNSYS0100009284	NHMSYS0021172667			NBNSYS0000000028	Species	Aeolosoma hemprichi	Ehrenberg		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172668		NBNSYS0100009285	NHMSYS0021172668			NBNSYS0000000028	Species	Aeolosoma quaternarium	Ehrenberg		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172669		NBNSYS0100009286	NHMSYS0021172669			NBNSYS0000000028	Species	Aeolosoma tenebrarum	Vejdovsky		la		NHMSYS0020970929	15/06/2017	
annelid	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172670		NBNSYS0100009287	NHMSYS0021172670			NBNSYS0000000028	Species	Aeolosoma variegatum	Vejdovsky		la		NHMSYS0020970929	15/06/2017	
insect - dragonfly (Odonata)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171487		NBNSYS0000039880	NHMSYS0021171487			NBNSYS0000000022	Genus	Aeshna	Fabricius, 1775		la		NHMSYS0020970929	15/06/2017	
insect - dragonfly (Odonata)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176207		NHMSYS0020546806	NHMSYS0021176207			NBNSYS0000000028	Species	Aeshna affinis	Vander Linden, 1820		la		NHMSYS0020970929	15/06/2017	
insect - dragonfly (Odonata)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169666		NBNSYS0000005623	NHMSYS0021169666			NBNSYS0000000028	Species	Aeshna caerulea	(Strom, 1783)		la		NHMSYS0020970929	15/06/2017	
insect - dragonfly (Odonata)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169669		NBNSYS0000005626	NHMSYS0021169669			NBNSYS0000000028	Species	Aeshna cyanea	(Muller, 1764)		la		NHMSYS0020970929	15/06/2017	
